SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,PopMale,PopFemale,PopTotal
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,40-44,17585.418,16894.009,34479.427
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,45-49,15774.96,15420.941,31195.901
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,50-54,13004.124,13142.488,26146.612
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,55-59,10843.495,11686.937,22530.432
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,60-64,7943.196,8989.481,16932.677
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,65-69,5374.978,6657.97,12032.948
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,70-74,3096.754,4356.324,7453.078
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,75-79,1479.548,2443.354,3922.902
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,80-84,545.149,1079.256,1624.405
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,85-89,134.11,295.554,429.664
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,90-94,23.093,57.925,81.018
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,95+,1.496,6.719,8.215
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,25-29,26887.733,23855.159,50742.892
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,30-34,24191.294,21913.105,46104.399
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,35-39,21047.332,19560.474,40607.806
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,40-44,18015.668,17255.598,35271.266
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,45-49,15753.016,15465.078,31218.094
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,50-54,13304.526,13330.571,26635.097
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,55-59,10904.694,11790.225,22694.919
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,60-64,8207.192,9367.842,17575.034
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,65-69,5392.699,6684.616,12077.315
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,70-74,3139.056,4458.538,7597.594
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,75-79,1503.245,2492.563,3995.808
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,80-84,550.371,1103.77,1654.141
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,85-89,127.261,290.106,417.367
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,90-94,21.663,55.718,77.381
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1964,1964,95+,1.326,6.04,7.366
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,25-29,26664.6,23534.914,50199.514
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,30-34,24824.558,22450.218,47274.776
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,35-39,21305.802,19703.911,41009.713
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,40-44,18574.593,17728.473,36303.066
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,45-49,15761.178,15517.08,31278.258
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,50-54,13631.84,13565.359,27197.199
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,55-59,11067.883,11953.856,23021.739
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,60-64,8479.272,9747.317,18226.589
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1965,1965,65-69,5400.726,6720.576,12121.302
